Time,Occupancy
2026-06-18 09:14:31,1
2026-06-18 14:03:53,0
2026-06-18 14:03:58,0
2026-06-18 14:04:03,3
2026-06-18 14:04:09,3
2026-06-18 14:04:14,2
2026-06-18 14:04:20,2
2026-06-18 14:04:27,2
2026-06-18 14:04:33,2
2026-06-18 14:04:39,0
2026-06-18 14:04:45,0
2026-06-18 14:04:51,0
2026-06-18 14:04:57,0
2026-06-18 14:05:05,0
2026-06-18 14:05:11,0
2026-06-18 14:05:19,0
2026-06-19 10:28:50,3
2026-06-19 10:28:55,2
2026-06-19 10:35:54,2
2026-06-19 10:35:59,2
2026-06-19 10:36:07,2
2026-06-19 10:36:13,1
2026-06-19 10:36:18,2
2026-06-19 10:36:23,2
2026-06-19 10:36:28,2
2026-06-19 10:36:34,2
2026-06-19 10:36:41,3
2026-06-19 10:36:49,2
2026-06-19 10:36:55,3
2026-06-19 10:37:02,2
2026-06-19 10:37:08,3
2026-06-19 10:37:14,2
2026-06-19 10:37:21,2
2026-06-19 10:37:27,2
2026-06-19 10:37:33,2
2026-06-19 10:37:38,2
2026-06-19 10:37:45,2
2026-06-19 10:37:51,2
2026-06-19 10:37:58,1
2026-06-19 10:38:04,2
2026-06-19 10:38:10,2
2026-06-19 10:38:15,3
2026-06-19 10:38:21,1
2026-06-19 10:38:27,1
2026-06-19 10:38:33,1
2026-06-19 11:14:04,1
2026-06-19 11:14:09,1
2026-06-19 11:14:15,1
2026-06-19 11:14:20,1
2026-06-19 11:14:25,1
2026-06-19 11:14:30,1
2026-06-19 11:14:35,1
2026-06-19 11:14:41,1
2026-06-19 11:14:46,1
2026-06-19 11:14:51,1
2026-06-19 11:14:57,1
2026-06-19 11:15:06,1
2026-06-19 11:15:13,1
2026-06-19 11:15:20,1
2026-06-19 11:15:46,1
2026-06-19 11:16:00,1
2026-06-19 11:16:05,1
2026-06-19 11:16:12,1
2026-06-19 11:16:17,1
2026-06-19 11:16:28,1
2026-06-19 11:16:33,1
2026-06-19 11:16:39,1
2026-06-19 11:16:47,2
2026-06-19 11:16:55,2
2026-06-19 11:17:02,1
2026-06-19 11:17:07,2
2026-06-19 11:17:12,2
2026-06-19 11:17:18,1
2026-06-19 11:17:32,1
2026-06-19 11:17:38,2
2026-06-19 11:17:43,2
2026-06-19 11:17:48,1
2026-06-19 11:17:53,1
2026-06-22 12:56:30,1
2026-06-22 12:56:36,1
2026-06-22 12:56:41,1
2026-06-22 12:56:46,1
2026-06-22 12:56:52,1
2026-06-22 12:56:57,1
2026-06-22 12:57:05,1
2026-06-22 12:57:10,1
2026-06-22 12:57:15,1
2026-06-22 12:57:29,1
2026-06-22 12:57:38,1
2026-06-22 12:57:44,1
2026-06-22 12:57:50,1
2026-06-22 12:57:55,1
2026-06-22 12:58:02,1
2026-06-22 12:58:08,1
2026-06-22 12:58:15,1
2026-06-22 12:58:20,1
2026-06-22 12:58:29,1
2026-06-22 12:58:39,1
2026-06-22 12:58:44,1
2026-06-22 12:58:51,1
2026-06-22 12:58:58,1
2026-06-22 12:59:03,1
2026-06-22 12:59:08,1
2026-06-22 12:59:15,1
2026-06-22 12:59:21,1
2026-06-22 12:59:29,1
2026-06-22 12:59:36,1
2026-06-22 12:59:42,1
2026-06-22 12:59:47,1
2026-06-22 12:59:55,1
2026-06-22 13:00:00,1
2026-06-22 13:00:07,1
2026-06-22 13:00:14,1
2026-06-22 13:00:19,1
2026-06-22 13:00:26,1
2026-06-22 13:00:32,1
2026-06-22 13:00:38,1
2026-06-22 13:00:44,1
2026-06-22 13:00:49,1
2026-06-22 13:00:55,1
2026-06-22 13:01:01,1
2026-06-22 13:01:07,1
2026-06-22 13:01:13,1
2026-06-22 13:01:23,1
2026-06-22 13:01:31,1
2026-06-22 13:01:39,1
2026-06-22 13:01:47,1
2026-06-22 13:01:54,1
2026-06-22 13:02:02,2
2026-06-22 13:02:07,1
2026-06-22 13:02:12,1
2026-06-22 13:02:18,1
2026-06-22 13:02:23,1
2026-06-22 13:02:30,1
2026-06-22 13:02:37,1
2026-06-22 13:02:44,1
2026-06-22 13:02:50,1
2026-06-22 13:02:57,1
2026-06-22 13:03:05,1
2026-06-22 13:03:12,1
2026-06-22 13:03:18,1
2026-06-22 13:03:23,1
2026-06-22 13:03:28,1
